HR (bpm),HRV (ms),GSR (µS),SpO2 (%),Stress Level (1-5)
69,44,3.63,98,1
62,40,3.6,98,1
61,40,3.66,98,1
66,44,2.86,97,1
72,46,3.63,97,1
73,40,3.3,98,1
68,45,2.95,97,1
60,43,2.52,97,1
62,48,2.98,98,1
74,43,3.36,97,1
64,44,2.94,97,1
63,44,3.63,97,1
68,46,2.64,98,1
69,46,3.99,98,1
64,42,3.83,97,1
70,41,3.95,97,1
69,49,3.43,97,1
65,46,3.14,98,1
69,48,3.73,98,1
61,44,3.27,98,1
62,47,3.06,97,1
65,43,2.86,97,1
68,43,3.03,98,1
74,42,3.67,98,1
66,49,3.86,97,1
73,42,2.88,98,1
71,49,3.61,98,1
72,48,3.62,97,1
72,48,3.06,97,1
68,47,3.29,97,1
65,49,2.52,98,1
72,44,2.57,97,1
70,44,2.88,97,1
63,48,3.28,97,1
60,40,3.44,98,1
62,46,2.57,98,1
69,47,3.09,98,1
71,44,2.92,98,1
63,49,3.08,98,1
61,44,3.96,98,1
70,45,2.55,97,1
60,44,3.72,98,1
72,42,3.73,98,1
62,44,3.42,98,1
69,47,3.81,97,1
72,44,2.54,97,1
65,40,3.22,97,1
60,44,3.62,97,1
65,40,3.76,98,1
68,42,2.7,97,1
66,45,3.54,97,1
74,44,3.99,97,1
66,44,3.59,98,1
69,42,2.87,98,1
68,40,3.93,97,1
63,40,3.51,98,1
61,47,2.53,98,1
61,45,3.66,97,1
61,40,3.33,97,1
73,48,3.38,97,1
74,46,3.63,97,1
73,41,3.71,97,1
65,41,3.03,98,1
61,42,3.86,98,1
68,45,3.18,97,1
71,46,3.29,97,1
64,43,3.19,97,1
69,40,2.89,98,1
64,41,3.43,98,1
72,42,3.31,97,1
66,45,3.55,98,1
67,43,3.02,97,1
62,41,3.4,97,1
62,44,2.75,98,1
69,45,2.63,97,1
64,48,3.03,98,1
61,40,3.26,97,1
70,48,2.64,97,1
68,45,2.62,98,1
70,40,2.92,97,1
67,40,3.4,98,1
74,47,3.23,98,1
71,46,3.3,98,1
72,49,2.56,98,1
62,46,3.53,97,1
73,41,3.17,97,1
62,48,3.61,98,1
69,46,2.98,97,1
65,49,3.3,97,1
60,43,3.21,98,1
62,48,3.25,97,1
63,45,3.38,98,1
67,40,3.35,98,1
68,44,3.04,98,1
61,47,3.25,98,1
64,48,2.86,98,1
64,45,3.05,98,1
63,47,3.85,97,1
62,42,2.53,97,1
63,47,2.67,98,1
63,43,2.51,98,1
60,47,3.58,98,1
68,41,3.34,98,1
69,42,3.76,97,1
65,49,2.99,97,1
63,40,3.6,98,1
74,40,3.42,98,1
65,44,3.26,97,1
63,42,2.58,98,1
67,49,3.32,98,1
71,41,2.98,98,1
63,40,2.71,97,1
60,48,3.39,98,1
65,46,3.69,97,1
60,44,3.75,98,1
61,44,3.6,97,1
61,42,2.6,98,1
65,47,3.74,97,1
73,42,2.75,97,1
62,49,3.86,97,1
72,49,3.09,98,1
67,46,3.57,98,1
62,45,3.31,97,1
74,40,2.85,97,1
74,46,3.3,97,1
67,47,3.44,97,1
65,45,3.0,97,1
67,49,2.71,97,1
74,40,3.3,97,1
70,43,4.0,97,1
60,44,3.67,97,1
73,43,3.35,98,1
64,49,3.01,98,1
72,43,3.19,98,1
67,47,2.72,97,1
63,41,2.52,97,1
62,43,3.31,97,1
70,44,3.74,98,1
69,47,3.38,98,1
66,49,3.92,98,1
69,47,3.26,97,1
60,47,3.81,98,1
71,43,3.88,97,1
67,44,3.56,98,1
60,49,2.6,97,1
72,47,3.76,97,1
66,40,2.67,97,1
69,43,2.69,97,1
60,45,3.28,98,1
74,44,3.07,97,1
68,49,3.7,97,1
69,48,2.67,98,1
68,49,3.88,98,1
66,41,3.22,97,1
60,42,2.87,97,1
66,43,3.13,98,1
60,40,3.67,97,1
65,49,2.52,97,1
60,46,3.96,97,1
60,43,3.12,98,1
74,47,3.25,97,1
72,46,3.14,98,1
62,40,2.55,98,1
67,42,2.6,98,1
62,41,3.29,98,1
60,41,3.25,97,1
74,43,2.77,97,1
66,46,3.63,98,1
69,42,3.47,98,1
60,46,3.97,98,1
61,46,3.49,97,1
68,46,2.88,97,1
70,47,2.66,97,1
64,42,3.83,98,1
74,47,2.65,98,1
67,47,3.71,98,1
63,43,3.5,97,1
73,46,3.84,97,1
69,46,3.6,97,1
62,42,3.37,98,1
61,41,3.87,97,1
63,49,3.74,97,1
66,46,2.9,97,1
64,45,3.66,97,1
61,44,2.94,98,1
69,45,3.67,97,1
69,47,3.98,97,1
60,41,2.53,98,1
68,47,3.55,97,1
66,48,2.71,97,1
73,43,2.7,97,1
72,41,2.91,97,1
65,41,3.29,98,1
63,48,2.91,97,1
64,48,3.25,98,1
66,44,2.52,97,1
70,48,2.9,97,1
67,41,3.4,97,1
64,46,3.36,97,1
69,44,3.07,98,1
83,36,3.75,96,2
70,37,3.64,96,2
79,39,4.76,96,2
73,35,4.58,97,2
72,40,4.21,96,2
77,40,3.7,97,2
70,44,3.55,97,2
72,37,4.76,96,2
83,36,4.43,97,2
74,43,3.61,96,2
70,43,4.56,97,2
79,43,3.87,96,2
71,39,3.5,96,2
83,40,4.39,96,2
74,35,3.71,97,2
78,41,4.28,97,2
83,42,4.64,96,2
74,35,4.49,97,2
75,42,3.87,96,2
81,44,3.58,97,2
84,44,4.38,96,2
76,44,4.35,97,2
76,39,4.6,96,2
77,36,4.13,96,2
71,38,4.77,97,2
80,44,4.47,97,2
84,42,3.85,97,2
82,36,4.83,96,2
77,44,4.59,97,2
76,42,4.31,96,2
75,43,4.61,96,2
82,44,4.81,97,2
76,37,4.81,97,2
80,41,3.78,97,2
72,41,3.51,96,2
83,35,4.1,96,2
81,43,4.37,97,2
84,43,4.65,96,2
84,41,4.28,96,2
83,35,3.67,97,2
77,36,3.94,97,2
74,43,3.92,96,2
83,43,3.66,96,2
77,38,3.83,97,2
74,39,3.63,97,2
76,42,4.83,97,2
80,36,3.75,97,2
73,42,4.91,96,2
75,39,4.75,97,2
79,36,4.08,96,2
70,44,4.67,97,2
74,39,4.44,96,2
70,43,4.89,97,2
70,44,4.27,97,2
83,35,3.73,97,2
72,40,4.43,96,2
84,43,4.39,97,2
74,36,4.19,97,2
72,43,3.57,97,2
81,44,4.71,97,2
78,39,4.6,97,2
77,40,3.89,96,2
79,36,3.62,97,2
82,39,4.99,97,2
77,37,4.74,97,2
77,36,4.32,96,2
82,35,4.82,96,2
77,35,3.74,97,2
78,43,4.9,97,2
84,40,3.78,96,2
80,44,4.2,96,2
76,44,3.69,96,2
74,41,3.74,97,2
71,41,3.79,96,2
83,35,4.34,97,2
84,36,4.45,97,2
82,37,3.69,96,2
83,41,4.31,97,2
71,39,3.65,97,2
73,38,3.6,96,2
70,40,4.56,97,2
70,40,4.43,96,2
71,36,4.99,96,2
82,38,4.47,97,2
82,41,3.6,96,2
75,37,3.88,96,2
79,36,3.91,96,2
73,35,3.65,96,2
76,41,4.74,96,2
73,36,4.66,97,2
75,37,4.93,97,2
77,39,4.86,96,2
80,38,4.1,96,2
74,37,3.97,97,2
81,40,3.84,96,2
72,35,4.48,97,2
71,42,3.74,96,2
70,39,3.73,96,2
83,36,4.64,96,2
82,39,4.87,97,2
72,38,4.69,96,2
83,41,3.69,97,2
73,38,4.34,97,2
78,40,4.37,96,2
71,42,4.15,97,2
82,35,3.52,97,2
83,36,4.22,96,2
75,43,4.79,97,2
78,42,4.59,96,2
77,43,3.86,96,2
83,40,4.43,97,2
70,44,4.66,97,2
81,35,4.28,96,2
78,35,4.74,97,2
75,41,3.7,96,2
79,44,4.7,97,2
79,41,4.51,97,2
80,37,4.84,96,2
75,43,3.58,97,2
78,36,4.9,97,2
71,38,4.01,96,2
84,41,4.49,97,2
73,40,4.73,97,2
84,37,3.56,97,2
79,36,3.59,96,2
81,43,4.81,97,2
72,41,4.21,96,2
77,41,4.15,97,2
72,36,3.53,96,2
75,39,4.99,96,2
80,37,3.62,96,2
72,40,3.55,96,2
76,35,4.8,96,2
79,42,4.14,97,2
81,38,4.26,97,2
70,37,4.37,97,2
79,39,4.09,97,2
71,36,4.69,96,2
79,37,4.39,97,2
82,37,4.43,97,2
74,35,3.7,97,2
73,41,4.45,97,2
83,36,3.77,96,2
75,43,3.87,97,2
82,42,4.37,97,2
71,41,3.75,96,2
78,43,4.1,96,2
74,39,3.99,97,2
81,42,4.09,96,2
84,44,3.61,97,2
79,44,4.5,96,2
70,39,3.87,96,2
81,35,3.88,97,2
73,43,4.41,96,2
74,39,4.67,97,2
81,42,4.38,96,2
75,38,3.9,97,2
78,39,4.9,96,2
70,41,3.84,96,2
74,39,3.65,96,2
83,44,4.1,97,2
77,36,3.98,96,2
78,41,4.18,96,2
80,36,4.01,97,2
73,41,3.54,96,2
73,36,3.8,96,2
77,36,3.78,96,2
77,40,4.8,97,2
84,36,4.49,96,2
79,44,3.53,97,2
70,44,4.8,97,2
70,42,4.69,97,2
70,35,3.82,97,2
83,39,4.5,96,2
79,36,5.0,97,2
84,43,4.8,96,2
82,43,3.64,96,2
78,38,4.48,97,2
83,38,4.5,97,2
71,36,4.82,96,2
72,35,3.68,97,2
76,43,3.99,96,2
81,44,4.09,96,2
72,43,4.39,97,2
70,37,3.84,97,2
80,37,3.75,97,2
79,36,4.2,96,2
74,44,4.93,97,2
75,39,4.72,96,2
81,39,4.1,96,2
84,38,4.41,97,2
76,40,4.62,97,2
80,39,3.79,96,2
84,39,4.85,96,2
73,37,3.59,96,2
82,40,3.79,97,2
82,38,3.89,97,2
83,37,4.37,97,2
73,36,4.1,96,2
73,44,3.68,96,2
86,34,5.7,95,3
86,32,5.69,95,3
89,32,5.94,96,3
85,31,5.72,96,3
87,34,4.67,95,3
86,30,5.73,96,3
91,33,5.69,95,3
89,32,5.12,95,3
89,32,5.65,95,3
89,29,4.95,96,3
82,28,5.14,96,3
88,26,5.65,96,3
80,31,5.38,95,3
80,27,5.8,95,3
86,29,4.64,96,3
84,27,5.41,96,3
90,34,4.89,95,3
92,33,5.25,96,3
82,31,5.54,95,3
89,30,5.17,95,3
80,31,5.01,96,3
82,28,5.59,96,3
86,28,4.63,95,3
83,27,5.1,95,3
90,30,5.03,96,3
92,25,5.75,96,3
84,29,4.91,96,3
81,27,5.3,95,3
89,27,4.79,96,3
86,26,5.04,95,3
81,31,5.2,96,3
85,34,5.94,95,3
92,33,4.76,96,3
93,33,5.73,96,3
80,32,5.69,96,3
93,31,5.1,96,3
85,29,5.61,96,3
91,25,5.76,95,3
83,30,4.89,96,3
86,25,5.41,96,3
85,28,5.56,96,3
83,25,4.84,95,3
81,33,4.63,95,3
88,33,5.26,95,3
83,31,5.91,96,3
86,30,5.88,95,3
94,30,5.35,96,3
89,25,4.67,96,3
92,27,5.51,96,3
93,30,4.71,95,3
83,33,4.98,95,3
81,26,4.84,96,3
83,26,5.46,95,3
81,33,5.22,95,3
83,25,5.41,96,3
93,28,5.25,95,3
85,33,5.5,96,3
87,29,4.54,95,3
94,28,4.62,96,3
91,28,5.16,96,3
94,30,4.5,95,3
93,26,5.48,95,3
